date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:22	144371/144371	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html	(from )
16:08:22	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Nov%202021%2009:08:21%20GMT	https://templates.iqonic.design/robots.txt		(from )
16:08:23	72176/72176	---M-Z	200	added ('OK')	text/css	etag:%22119f0-5c919f40f3067-gzip%22	https://templates.iqonic.design/socialv/bs5/html/dist/assets/css/libs.min.css	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/css/libs.min.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:23	490688/490688	---M-Z	200	added ('OK')	text/css	etag:%2277cc0-5c9f744d04ad3-gzip%22	https://templates.iqonic.design/socialv/bs5/html/dist/assets/css/socialv.css?v=4.0.0	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/css/socialv1fc6.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:24	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5c919f4117288-gzip%22	https://templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:24	110464/110464	---M-Z	200	added ('OK')	text/css	etag:%221af80-5c919f41450eb-gzip%22	https://templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/remixicon/fonts/remixicon.css	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/remixicon/fonts/remixicon.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:24	5102/5102	---M-Z	200	added ('OK')	text/css	etag:%2213ee-5c919f415990c-gzip%22	https://templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/vanillajs-datepicker/dist/css/datepicker.min.css	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/vanillajs-datepicker/dist/css/datepicker.min.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:24	286/286	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Nov%202021%2009:08:23%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/font-awesome-line-awesome/css/all.min.css	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/font-awesome-line-awesome/css/all.min.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:25	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-5c919f41402ca-gzip%22	https://templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:25	93746/93746	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/friend-list.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/friend-list.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:26	133567/133567	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/friend-profile.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/friend-profile.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:26	98678/98678	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/notification.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/notification.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:26	76499/76499	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/file.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/file.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:27	86921/86921	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/friend-request.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/friend-request.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:27	66820/66820	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/calendar.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/calendar.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:27	86985/86985	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/birthday.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/birthday.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:28	70334/70334	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/weather.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/weather.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:28	86795/86795	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/music.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/music.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:28	77045/77045	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/blog-grid.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/blog-grid.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:28	84917/84917	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/blog-list.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/blog-list.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:29	82119/82119	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/blog-detail.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/blog-detail.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:29	92579/92579	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-category-grid.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-category-grid.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:29	94904/94904	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-category-list.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-category-list.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:30	84699/84699	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-detail.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-detail.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:30	85733/85733	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-checkout.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/store-checkout.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:30	73263/73263	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-color.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-color.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:31	72311/72311	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-typography.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-typography.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:31	78510/78510	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-alerts.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-alerts.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:31	73875/73875	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-badges.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-badges.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:32	73391/73391	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-breadcrumb.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-breadcrumb.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:32	100607/100607	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-buttons.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-buttons.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:32	90921/90921	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-cards.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-cards.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:33	75140/75140	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-carousel.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-carousel.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:33	65969/65969	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-embed-video.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-embed-video.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:33	85080/85080	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-grid.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-grid.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:34	75623/75623	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-images.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-images.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:34	78295/78295	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-list-group.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-list-group.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:34	97264/97264	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-modal.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/ui-modal.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
